journal_name,year
Journal of the Association for Information Science and Technology,2023
Sensors,2022
Multimedia Tools and Applications,2024
IEEE/ACM Transactions on Networking,2024
Journal of The Institution of Engineers (India): Series B,2024
Biomedical Signal Processing and Control,2022
Speech Communication,2020
IEEE Access,2024
IEEE Transactions on Learning Technologies,2020
Evolving Systems,2021
IEEE Access,2021
IEEE Transactions on Computers,2022
Journal of Chemical Information and Modeling,2022
Eurasip Journal on Advances in Signal Processing,2022
IEEE Internet Computing,2022
"Signal, Image and Video Processing",2022
Information (Switzerland),2021
Multimedia Tools and Applications,2021
Multimedia Tools and Applications,2023
Computational Materials Science,2020
International Journal of Image and Graphics,2021
Computational and Structural Biotechnology Journal,2022
Biomedical Signal Processing and Control,2023
IEEE Transactions on Knowledge and Data Engineering,2022
AIMS Electronics and Electrical Engineering,2024
IEEE Transactions on Multimedia,2020
Information Sciences,2021
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",2021
IEEE Internet of Things Journal,2021
Computational and Structural Biotechnology Journal,2023
BMC Bioinformatics,2020
Future Generation Computer Systems,2023
Journal of Chemical Information and Modeling,2023
"IEEE Transactions on Biometrics, Behavior, and Identity Science",2024
Pattern Recognition,2021
IEEE Journal of Biomedical and Health Informatics,2022
International Journal of Electronic Security and Digital Forensics,2024
Journal of the Association for Information Science and Technology,2020
IEEE Transactions on Multimedia,2021
International Journal of Neural Systems,2020
Computers in Biology and Medicine,2021
npj Digital Medicine,2023
Multimedia Tools and Applications,2022
Journal of Information Technology in Construction,2021
Expert Systems with Applications,2024
Cognitive Computation,2024
Computers in Biology and Medicine,2022
Computers and Geotechnics,2021
Intelligent Systems with Applications,2022
Information Sciences,2020
IEEE Transactions on Industrial Informatics,2021
Systems and Soft Computing,2021
Medical Image Analysis,2022
IEEE Transactions on Dependable and Secure Computing,2023
Engineering Applications of Artificial Intelligence,2023
IEEE Transactions on Network Science and Engineering,2021
IEEE Transactions on Multimedia,2024
Journal of the ACM,2022
Journal of Cyber Security and Mobility,2021
Computers and Electronics in Agriculture,2021
Speech Communication,2023
Computers in Biology and Medicine,2024
Journal of Intelligent and Fuzzy Systems,2021
Quantum Information Processing,2021
IEEE Transactions on Medical Imaging,2024
IEEE Internet of Things Journal,2020
"Circuits, Systems, and Signal Processing",2024
Biomedical Signal Processing and Control,2021
VINE Journal of Information and Knowledge Management Systems,2021
Data Science and Management,2023
IEEE Transactions on Artificial Intelligence,2021
Intelligent Systems with Applications,2023
Engineering with Computers,2021
Communications of the ACM,2024
Evolutionary Intelligence,2023
IEEE Intelligent Transportation Systems Magazine,2022
Journal of The Institution of Engineers (India): Series B,2021
Virtual Reality,2020
Multimedia Tools and Applications,2020
IEEE Transactions on Human-Machine Systems,2020
IEEE Latin America Transactions,2024
Expert Systems with Applications,2022
IEEE Access,2020
IEEE Access,2022
Intelligent Systems with Applications,2020
IEEE Transactions on Information Forensics and Security,2024
Applied Mathematics and Nonlinear Sciences,2022
BMC Bioinformatics,2021
IEEE Transactions on Big Data,2020
Journal of Electronic Science and Technology,2024
Displays,2024
Neural Networks,2022
IEEE Journal of Biomedical and Health Informatics,2020
Applied Mathematics and Nonlinear Sciences,2021
IEEE Transactions on Pattern Analysis and Machine Intelligence,2022
IEEE Transactions on Information Forensics and Security,2020
Journal of Chemical Information and Modeling,2020
Computer Physics Communications,2022
Applied Mathematics and Nonlinear Sciences,2024
Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery,2022
VLDB Journal,2021
IEEE Transactions on Information Forensics and Security,2021
BMC Bioinformatics,2022
Expert Systems with Applications,2021
Journal of Biomedical Informatics,2024
Computer Methods and Programs in Biomedicine,2021
Journal of Chemical Information and Modeling,2021
Sensors,2021
Machine Intelligence Research,2022
Computational and Structural Biotechnology Journal,2021
Journal of Intelligent and Fuzzy Systems,2020
Neural Computing and Applications,2021
Control Engineering Practice,2021
Statistical Analysis and Data Mining,2024
Applied Intelligence,2024
Computers and Geotechnics,2024
Computer Standards and Interfaces,2022
Computational Toxicology,2021
"IEEE Transactions on Biometrics, Behavior, and Identity Science",2021
IEEE Network,2021
npj Computational Materials,2022
Expert Systems with Applications,2023
Engineering Applications of Artificial Intelligence,2024
Calphad: Computer Coupling of Phase Diagrams and Thermochemistry,2024
Computers in Biology and Medicine,2023
Soft Computing,2022
Journal of the Franklin Institute,2021
IEEE Transactions on Image Processing,2024
Journal of Mathematical Imaging and Vision,2021
ACM Transactions on Privacy and Security,2024
IEEE Transactions on Learning Technologies,2021
Computer Vision and Image Understanding,2023
IEEE Journal of Biomedical and Health Informatics,2021
Knowledge and Information Systems,2021
IEEE Access,2023
Connection Science,2024
Knowledge-Based Systems,2022
Applied Mathematics and Nonlinear Sciences,2023
Multimedia Systems,2022
Microprocessors and Microsystems,2022
Computers and Geotechnics,2022
Cognitive Systems Research,2024
International Journal of Intelligent Robotics and Applications,2021
Computers and Geotechnics,2023
Astronomy and Computing,2024
Journal of Visual Communication and Image Representation,2021
Journal of Manufacturing Technology Management,2021
CAD Computer Aided Design,2024
Knowledge and Information Systems,2020
Speech Communication,2021
IEEE Transactions on Knowledge and Data Engineering,2023
IEEE Transactions on Computational Social Systems,2021
Computers and Geosciences,2024
IEEE Transactions on Information Theory,2021
IEEE Internet of Things Journal,2024
IEEE Transactions on Smart Grid,2020
Advanced Engineering Informatics,2024
Journal of Molecular Graphics and Modelling,2022
IEEE Journal of Biomedical and Health Informatics,2023
Industrial Robot,2021
Pattern Recognition,2020
Biomedical Signal Processing and Control,2020
Information Sciences,2024
Biomedical Signal Processing and Control,2024
Sensors,2024
Displays,2021
Journal of Big Data,2021
IEEE Transactions on Services Computing,2023
International Journal of Advanced Robotic Systems,2021
IEEE Transactions on Human-Machine Systems,2021
Computer-Aided Design and Applications,2020
Energy and AI,2022
Future Generation Computer Systems,2022
Scalable Computing,2020
"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations",2024
Computational and Structural Biotechnology Journal,2024
Pattern Recognition,2024
Data Science and Engineering,2022
Expert Systems with Applications,2020
